s 5.500000 -3.500000
ex 14.500000 -20.500000 res/level/end.txt
mu res/sound/music5.wav 1
ft 0 res/texture/grass.png
ft 1 res/texture/tile.png
f 0 4.500000 -2.500000
f 0 5.500000 -2.500000
f 0 6.500000 -2.500000
f 0 7.500000 -2.500000
f 0 8.500000 -2.500000
f 0 9.500000 -2.500000
f 0 10.500000 -2.500000
f 0 11.500000 -2.500000
f 0 12.500000 -2.500000
f 0 12.500000 -3.500000
f 0 4.500000 -3.500000
f 0 4.500000 -4.500000
f 0 5.500000 -4.500000
f 0 6.500000 -4.500000
f 0 7.500000 -4.500000
f 0 8.500000 -4.500000
f 0 9.500000 -4.500000
f 0 10.500000 -4.500000
f 0 12.500000 -4.500000
f 0 12.500000 -5.500000
f 0 10.500000 -5.500000
f 0 9.500000 -5.500000
f 0 7.500000 -5.500000
f 0 6.500000 -5.500000
f 0 5.500000 -5.500000
f 0 4.500000 -5.500000
f 0 4.500000 -6.500000
f 0 9.500000 -6.500000
f 0 10.500000 -6.500000
f 0 12.500000 -6.500000
f 1 5.500000 -3.500000
f 1 6.500000 -3.500000
f 1 7.500000 -3.500000
f 1 8.500000 -3.500000
f 1 9.500000 -3.500000
f 1 10.500000 -3.500000
f 1 11.500000 -3.500000
f 1 11.500000 -4.500000
f 1 11.500000 -5.500000
f 1 11.500000 -6.500000
f 1 11.500000 -7.500000
f 1 11.500000 -8.500000
f 1 10.500000 -8.500000
f 1 9.500000 -8.500000
f 1 8.500000 -8.500000
f 1 8.500000 -7.500000
f 1 8.500000 -6.500000
f 1 7.500000 -6.500000
f 1 6.500000 -6.500000
f 1 5.500000 -6.500000
f 1 5.500000 -7.500000
f 1 5.500000 -8.500000
f 1 5.500000 -9.500000
f 1 5.500000 -10.500000
f 1 5.500000 -11.500000
f 1 6.500000 -11.500000
f 1 7.500000 -11.500000
f 1 8.500000 -11.500000
f 1 9.500000 -11.500000
f 1 10.500000 -11.500000
f 1 11.500000 -11.500000
f 1 12.500000 -11.500000
f 1 13.500000 -11.500000
f 1 14.500000 -11.500000
f 1 14.500000 -10.500000
f 1 14.500000 -9.500000
f 1 14.500000 -8.500000
f 1 14.500000 -7.500000
f 1 14.500000 -6.500000
f 1 14.500000 -5.500000
f 1 14.500000 -4.500000
f 1 14.500000 -3.500000
f 1 15.500000 -3.500000
f 1 16.500000 -3.500000
f 1 17.500000 -3.500000
f 1 18.500000 -3.500000
f 1 15.500000 -6.500000
f 1 16.500000 -6.500000
f 1 17.500000 -6.500000
