s 0.5 -0.5
ft 0 res/texture/tile.png
f 0 0.500000 -0.500000
f 0 1.500000 -0.500000
f 0 2.500000 -0.500000
f 0 2.500000 -1.500000
f 0 2.500000 -2.500000
f 0 3.500000 -2.500000
f 0 4.500000 -2.500000
f 0 4.500000 -1.500000
f 0 4.500000 -0.500000
f 0 5.500000 -0.500000
f 0 6.500000 -0.500000
f 0 6.500000 -1.500000
f 0 6.500000 -2.500000
f 0 6.500000 -3.500000
w 0.000000 0.000000 3.000000 0.000000
w 3.000000 0.000000 3.000000 -2.000000
w 3.000000 -2.000000 4.000000 -2.000000
w 4.000000 -2.000000 4.000000 0.000000
w 7.000000 0.000000 7.000000 -4.000000
w 0.000000 0.000000 0.000000 -1.000000
w 0.000000 -1.000000 2.000000 -1.000000
w 2.000000 -1.000000 2.000000 -3.000000
w 2.000000 -3.000000 5.000000 -3.000000
w 5.000000 -3.000000 5.000000 -1.000000
w 5.000000 -1.000000 6.000000 -1.000000
w 6.000000 -1.000000 6.000000 -4.000000
m 4.000000 0.000000 7.000000 0.000000
m 0.000000 0.000000 7.437500 -10.125000
m 0.000000 0.000000 12.812500 -3.312500
m 0.000000 0.000000 11.000000 -10.687500
m 0.000000 0.000000 3.562500 -16.187500
m 0.000000 0.000000 14.562500 -13.500000
m 0.000000 0.000000 12.562500 -5.875000
m 0.000000 0.000000 12.562500 -4.937500
m 0.000000 0.000000 15.500000 -4.125000
m 0.000000 0.000000 12.437500 -6.625000
m 0.000000 0.000000 11.500000 -8.187500
m 0.000000 0.000000 10.562500 -9.375000
m 0.000000 0.000000 8.625000 -10.937500
m 0.000000 0.000000 7.375000 -11.750000
m 0.000000 0.000000 5.500000 -12.125000
e triangle 10.500000 -6.500000 0.500000
e triangle 11.500000 -6.500000 0.500000
e triangle 12.500000 -6.500000 0.500000
e triangle 13.500000 -6.500000 0.500000
e triangle 14.500000 -6.500000 0.500000
e triangle 15.500000 -6.500000 0.500000
